student_id,original_question,student_answer,predicted_score,generated_rationale,generated_feedback
36,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,If other people used my chosen feature they would be reusing alot of water and be really sustainable ,1,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s answer briefly states that the chosen feature would allow people to reuse a lot of water and be sustainable. This shows a very basic awareness of environmental impact, so a score of 1 out of 2 is appropriate for the Wales‑Wide Environmental Impact criterion. However, the response does not explain how this would affect all schools in Wales, nor does it mention any specific benefits to local communities or how it would help schools become more resilient in the future. Consequently, Community Benefits, Future Resilience, and Overall Understanding receive 0 points. The total score is 1 out of a possible 5.","### Strengths
* You identified that reusing water is a sustainable practice.

### Areas for Improvement
* Explain how reusing water would benefit all schools across Wales.
* Describe any positive effects on the local community (e.g., health, cost savings).
* Discuss how this feature could help schools cope with future challenges such as resource shortages.

### Advice
* Keep thinking about the bigger picture—how does your idea help everyone, not just a single school? Great start, keep building on it!"
381,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,We were doing the outside and we included Biosphere in our work. We want to encourage more insects to come to our school and make a better place for the pupils to be in.,4,"{
  ""Feature Selection & Explanation"": 1,
  ""Systems Identification"": 1,
  ""Systems Connections"": 1,
  ""Positive Environmental Impact"": 1
}

The student clearly identified a design feature – encouraging insects – and linked it to the Biosphere, satisfying the Systems Identification criterion. They also expressed a positive environmental goal by aiming to create a better place for pupils, which meets the Positive Environmental Impact criterion. While the explanation of the feature is brief, it is still a valid feature selection, so a full point is awarded for Feature Selection & Explanation. The student hints at a connection between insects and the school environment, but does not explicitly describe how this feature interacts with other natural systems (e.g., Hydrosphere, Atmosphere). Therefore, a partial credit is given for Systems Connections, rounded to one point to maintain a lenient and encouraging tone for a 12‑15‑year‑old learner. Overall, the answer demonstrates a solid understanding of the task with room for deeper elaboration.","### Strengths
- You identified the Biosphere as part of your design.
- Your idea to encourage insects shows a clear positive environmental goal.
- You highlighted how this could improve the school environment for pupils.

### Areas for Improvement
- Explain a bit more about how the feature works (e.g., what will you do to attract insects?).
- Show how this feature connects to other natural systems, like the Hydrosphere or Atmosphere.

### Advice
Keep up the great work! Adding a few more details will make your explanation even stronger."
342,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,"our design connected to quite a few of the earth's systems such as: the hydrosphere by including a water purifier that would make rainwater our drinking water. the biosphere by giving animals little habitats such as ponds, bug hotels, the green roofs and bushes the geosphere by using our food waste as compost to help our soil",5,"{
  ""Feature Selection & Explanation"": 1,
  ""Systems Identification"": 1,
  ""Systems Connections"": 2,
  ""Positive Environmental Impact"": 1
}

The student clearly lists three design features—water purifier, animal habitats, and composting of food waste—and explains how each one interacts with a specific Earth system. They correctly identify the hydrosphere, biosphere, and geosphere, satisfying the Systems Identification criterion. The explanation of how the water purifier uses rainwater (hydrosphere), how the habitats support wildlife (biosphere), and how compost improves soil (geosphere) demonstrates strong Systems Connections, earning the full 2 points. The environmental benefits are implied: using rainwater reduces reliance on municipal water, and composting turns waste into useful soil, so the Positive Environmental Impact criterion is met. Overall, the answer meets all rubric criteria fully, justifying a perfect score of 5.","### Strengths
- You identified multiple Earth systems (hydrosphere, biosphere, geosphere) and linked each design feature to the correct system.
- Your explanations of how the water purifier, habitats, and compost work show clear understanding of system connections.
- You highlighted environmental benefits such as using rainwater and turning waste into compost.

### Areas for Improvement
- Try to add a bit more detail about the positive impact, e.g., how much water you might save or how the compost improves soil quality.
- Consider using full sentences and proper punctuation to make your answer easier to read.

### Advice
Keep up the great work! Adding a few extra details will make your explanations even stronger."
343,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,"Our main project was the carbon monitor. The carbon monitor monitored the carbon levels in the room and when it went to high the windows automatically opened which then the classroom was filled with fresh air. This design had many design features as we focused on how we can make the air quality better in the classroom which comes under The Earth's Atmosphere. Our design feature also included building materials for the monitor itself and the windows. Also its biodiversity features which we used as a biophilic design for the windows and a biodegradable plastic for the carbon monitor. In the project we thought a lot about how we can make our design more Eco- friendly which took a lot of consideration and thinking when thinking for designs. Our design will have such a positive impact on the planet. We focused on how we can help the planet and not how we can make it better. This is because we need to help the planet in steps and do little things which have a great outcome. Like how we can make the air quality in the classroom better which allows major health benefits for young people as with fresh air it increases focus,happy moods and a more positive way to look at learning.",5,"{
  ""Feature Selection & Explanation"": 1,
  ""Systems Identification"": 1,
  ""Systems Connections"": 2,
  ""Positive Environmental Impact"": 1
}

The student clearly identifies the main design feature – a carbon monitor that opens windows when CO₂ levels rise – and explains its key components such as the monitoring mechanism, automatic window operation, biophilic design, and biodegradable materials. This satisfies the Feature Selection & Explanation criterion. They explicitly mention the Earth’s Atmosphere as the system involved, and also refer to biodiversity and biophilic design, indicating awareness of the Biosphere. Thus the Systems Identification criterion is met. For Systems Connections, the student explains how the monitor’s operation (opening windows) directly links to the atmosphere by bringing in fresh air, and how the use of biodegradable plastic reduces waste, connecting to the biosphere. These two distinct connections justify the maximum score of 2. Finally, the student states that the design will have a positive impact on the planet by improving air quality, reducing carbon, and providing health benefits, meeting the Positive Environmental Impact criterion. Overall, the answer meets all rubric criteria at the maximum level, earning a total score of 5.","### Strengths
- Clearly described the main design feature and its components.
- Identified the Earth’s Atmosphere and mentioned biodiversity/biophilic design.
- Explained how the system improves air quality and benefits health.

### Areas for Improvement
- Provide a bit more detail on how the biophilic design specifically supports biodiversity or the biosphere.
- Mention any other natural systems (e.g., Hydrosphere, Geosphere) if relevant to the materials used.

### Advice
- Keep up the great work! Adding a few more explicit links to natural systems will make your explanation even stronger."
407,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,no,0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student provided only the word ""no"" with no explanation or details. Therefore none of the rubric criteria are met, resulting in a score of 0 for each category and a total score of 0. Encourage the student to elaborate on how the chosen feature would affect schools in Wales.","### Strengths\n* You answered the question.\n### Areas for Improvement\n* Provide a clear explanation of what would happen if all schools used the feature.\n* Include details about environmental impact, community benefits, and future resilience.\n### Advice\n* Keep trying and add more details next time!"
22,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,if all schools in Wales installed atmosphere it would reduce carbon dioxide,1,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s answer identifies a potential environmental benefit – a reduction in carbon dioxide – which earns a partial credit for the Wales-Wide Environmental Impact criterion. However, the response is very brief and does not elaborate on how this benefit would be achieved, nor does it address community benefits, future resilience, or demonstrate a broader understanding of the feature’s impact. Consequently, the other criteria receive zero points. The overall understanding is limited because the answer lacks depth and context. Encourage the student to expand on how the feature works, its wider effects, and how it could support communities and future resilience.","### Strengths
* You identified a clear environmental benefit (reduced CO₂). 

### Areas for Improvement
* Explain how installing the feature would actually reduce CO₂.
* Discuss any benefits to the local community or how it could help schools in the future.

### Advice
* Keep thinking about the bigger picture – how does your idea help people and the planet? Great start!"
329,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,we looked at the atmosphere to use less pollution ,2,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 1,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 1
}

The student’s answer briefly mentions the atmosphere and a goal of reducing pollution, which shows an attempt to link a design idea to a natural system. However, the response lacks a clear description of a specific design feature and does not explain how that feature works or why it was chosen. The student identifies the atmosphere as a system, earning a full point for Systems Identification. No explicit connections to other systems (e.g., biosphere, hydrosphere) are described, so Systems Connections receives zero. The mention of reducing pollution indicates a positive environmental impact, earning one point. Overall, the answer meets the minimum for two criteria but needs more detail and depth to fully satisfy the rubric.","### Strengths
- You identified the atmosphere as a natural system and mentioned a goal of reducing pollution, showing awareness of environmental impact.

### Areas for Improvement
- Describe a specific design feature (e.g., a solar-powered air purifier) and explain how it works.
- Explain how this feature connects to other natural systems, such as the biosphere or hydrosphere.

### Advice
- Keep thinking about how your ideas can help the planet, and try to add more detail so your teacher can see the full picture of your design."
383,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,"I used windowmills to malce clean electrcity they is atmospheose. 

I created ponds for more animals to come and lciad to enjoy. BTO spiere ",0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response contains a few ideas—windmills for clean electricity and ponds to attract animals—but the explanation is very brief and contains many spelling and grammatical errors that make it hard to understand. Because of this, the answer does not clearly demonstrate: 

• Feature Selection & Explanation – The student lists features but does not explain how they work or why they were chosen. 
• Systems Identification – There is no explicit identification of Earth’s natural systems (e.g., atmosphere, biosphere, hydrosphere). 
• Systems Connections – The link between the design features and the identified systems is not articulated. 
• Positive Environmental Impact – While the student hints at clean energy and wildlife habitat, the impact is not clearly described or justified. 

Given the lack of clear, coherent information for each criterion, a score of 0 for each is appropriate. However, the student has shown initiative by thinking about renewable energy and biodiversity, which is a good starting point.","### Strengths
- You mentioned using windmills to generate clean electricity and creating ponds to attract animals.

### Areas for Improvement
- Try to spell and write your ideas more clearly so the reader can follow your thoughts.
- Explain each feature in a few sentences: what it is, how it works, and why you chose it.
- Identify the Earth systems involved (e.g., atmosphere, biosphere, hydrosphere) and describe how your design connects to them.
- Describe the positive environmental impact in more detail: how will clean electricity help the planet? How will the ponds benefit wildlife?

### Advice
Keep brainstorming and keep writing! The ideas you have are promising—just add a bit more detail and clarity, and you’ll be able to show your teacher exactly how your design helps Earth’s natural systems."
335,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,"it would be better
",0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s response consists of a single phrase, ""it would be better,"" which does not address any of the rubric criteria. There is no mention of how the chosen feature would affect environmental impact across Wales, benefit local communities, enhance future resilience, or demonstrate overall understanding of the topic. Because the answer lacks content in all required areas, each criterion receives a score of 0. The teacher should note that while the student attempted to answer the question, more detail and specific examples are needed to meet the learning objectives.","### Strengths
* You made an attempt to answer the question, showing willingness to engage with the topic.

### Areas for Improvement
* Provide specific details about how the feature would impact the environment in Wales.
* Explain how it would benefit local communities and support future resilience.
* Show a clear understanding of the overall concept by linking your ideas together.

### Advice
* Keep trying! Start by writing a few sentences about one benefit, then build from there."
20,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,it would cost a lot but tons of energy and make money,0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s response is very brief and does not address any of the rubric criteria. They mention cost, energy, and money, but there is no discussion of how the feature would affect the environment across Wales, benefit local communities, build resilience for future schools, or demonstrate a clear overall understanding of the topic. For a complete answer, the student would need to explain the environmental benefits, community impact, future resilience, and show a cohesive understanding of why the feature matters. As it stands, the answer does not meet any of the scoring thresholds.","### Strengths
- You mentioned cost, energy, and money, which shows you are thinking about practical aspects of the feature.

### Areas for Improvement
- Explain how the feature would impact the environment across Wales.
- Describe any benefits it would bring to local communities.
- Discuss how it could help schools be more resilient in the future.
- Provide a clear overall picture of why this feature is important.

### Advice
- Try to add more details and examples. Keep exploring how your idea could help people and the planet!"
10,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,regrefref,0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s response, ""regrefref"", does not provide any information about the environmental impact, community benefits, future resilience, or overall understanding of the feature in question. None of the rubric criteria are addressed, so each receives a score of zero. The teacher should note that the answer lacks content and does not demonstrate any of the expected concepts.","### Strengths
* None identified in this response.
### Areas for Improvement
* Provide a clear, written answer that explains how the chosen feature would affect schools across Wales.
* Include specific examples of environmental benefits, community gains, and future resilience.
### Advice
* Keep trying – start by writing a short paragraph that describes the feature and its impact. You can always ask for help if you’re unsure how to structure your answer."
357,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,our project feature conectes with atmosphere,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response is very brief and only states that the project feature connects with the atmosphere. It does not provide any explanation of the feature itself, nor does it identify which natural system(s) are involved beyond a vague mention of the atmosphere. There is no discussion of how the feature interacts with other systems or how it might benefit the environment. Because none of the rubric criteria are met in a meaningful way, each criterion receives a score of 0, resulting in a total score of 0. This is an opportunity for the student to expand their answer with more detail and clear connections.","### Strengths
- You identified the atmosphere as a natural system related to your project.

### Areas for Improvement
- Explain what your project feature actually is and why you chose it.
- Clearly identify the natural system(s) involved (e.g., atmosphere, hydrosphere, biosphere).
- Describe how your feature connects to those systems and what happens as a result.
- Discuss any positive environmental impact your feature could have.

### Advice
- Keep exploring the link between your design and Earth’s systems—adding details will make your explanation stronger and more complete!"
324,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,if all schools in wales installed a nature running track it could invite more animals and people,2,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 1,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s answer shows a basic idea that a nature running track could attract more animals and people, which hints at environmental and community benefits. However, the response lacks detail: it does not explain how the track would improve environmental outcomes, how it would benefit the local community beyond simply attracting visitors, or how it would contribute to future resilience. The overall understanding of the feature’s impact is therefore limited. For a more complete answer, the student should elaborate on specific environmental benefits (e.g., biodiversity, habitat creation), community advantages (e.g., health, social interaction), and resilience aspects (e.g., adaptability to climate change).","### Strengths
- You identified that a nature running track could attract more animals and people, showing an awareness of potential benefits.

### Areas for Improvement
- Explain how the track would positively impact the environment (e.g., wildlife habitat, green space).
- Describe specific ways the community would benefit (e.g., health, education, social cohesion).
- Consider how the feature could help schools become more resilient in the future (e.g., climate adaptation, resource use).

### Advice
Keep thinking about the broader effects of your ideas – the more details you add, the stronger your answer will be!"
398,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,If all the school in wales biodiversity features would be more sustaniable,0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s response is extremely brief and lacks detail. It merely states that biodiversity features would be more sustainable if all schools in Wales adopted them, without explaining how this would impact the environment, benefit the community, or enhance future resilience. Because the answer does not provide any concrete examples, evidence, or elaboration, none of the rubric criteria are met. Consequently, each criterion receives a score of 0, resulting in a total score of 0.","### Strengths
- You mentioned biodiversity features, which is a relevant topic for sustainability.

### Areas for Improvement
- Provide more detail about how these features would benefit the environment across Wales.
- Explain how the community might gain from such features (e.g., learning opportunities, local food production).
- Discuss how this could help schools be more resilient in the future (e.g., resource savings, climate adaptation).

### Advice
- Try to expand your answer with specific examples and clear explanations. Keep going—you’re on the right track!"
421,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,water ,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response consists only of the word ""water"".  According to the rubric, a full answer should identify a specific design feature, explain it, identify the natural system(s) involved, describe how those systems connect, and explain a positive environmental impact.  The answer provides none of these elements, so each criterion receives a score of 0.  While the mention of water hints at a natural element, it is insufficient to meet any of the rubric categories.","### Strengths
- You mentioned a key natural element (water), which is a good starting point.

### Areas for Improvement
- Provide a clear description of the design feature you chose.
- Explain how that feature relates to one or more Earth systems (e.g., hydrosphere, biosphere).
- Describe how the feature connects those systems together.
- Highlight a positive environmental impact your design would have.

### Advice
- Think about how your design helps the environment and try to write a few sentences that show that connection. Keep going—you can do it!"
379,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,i created a garden to help the. enuironment.,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s answer is very brief and does not provide any explanation of the chosen design feature, identify which natural system it relates to, describe how it connects to other systems, or explain the positive environmental impact. Because none of the rubric criteria are met, each criterion receives a score of 0, resulting in a total score of 0. Encourage the student to expand on their idea, describe the garden’s role in the ecosystem, and explain how it benefits the environment.","### Strengths
* You have chosen to create a garden, which is a good start toward thinking about environmental projects.

### Areas for Improvement
* Provide more detail about what the garden will do and how it helps the environment.
* Explain which natural systems (e.g., soil, water, plants) are involved and how they are connected.

### Advice
* Keep brainstorming and write a few sentences about how your garden will work and why it matters. Good job taking the first step!"
380,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,if all schools created a garden there wowld be more animal and insects,1,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s answer shows a very basic idea that gardens would attract more animals and insects, which touches on environmental impact at a local level. However, the response lacks detail, explanation, and connection to broader Wales-wide effects, community benefits, future resilience, or a comprehensive understanding of the feature’s implications. Therefore, only a modest score is awarded for environmental impact, while the other criteria receive zero due to insufficient content.","### Strengths
- You identified that gardens can attract more wildlife, showing an awareness of biodiversity.

### Areas for Improvement
- Expand on how a garden would benefit the whole of Wales, not just a single school.
- Explain how the garden could help the community (e.g., learning opportunities, food sharing) and support future resilience (e.g., food security, climate adaptation).
- Provide more detail and examples to show a deeper understanding of the feature.

### Advice
- Keep thinking about the bigger picture and try to describe the impact in more detail. Great start—keep building on it!"
331,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,"in will help it
",0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response, ""in will help it,"" does not provide any information about the chosen design feature, does not identify any Earth systems, offers no explanation of how those systems are connected, and does not describe any positive environmental impact. Each rubric criterion requires at least a brief, clear statement to earn a point, and none of those are present. Therefore, all scores are 0 and the total is 0.","### Strengths
* You made an attempt to answer the question.

### Areas for Improvement
* Clearly describe the design feature you chose.
* Identify which Earth systems (e.g., Biosphere, Hydrosphere, Atmosphere, Geosphere) are involved.
* Explain how those systems are connected through your design.
* Describe the positive environmental impact your design would have.

### Advice
* Keep working on adding details and examples; the more you explain, the stronger your answer will be!"
383,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,in the future my desing would help schools cope with climate challenges by using solar panels and wind turbines to make electricity. ,3,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 0,
  ""Future Resilience"": 1,
  ""Overall Understanding"": 1
}

The student’s answer shows a clear idea of using solar panels and wind turbines, which demonstrates an understanding of renewable energy and its potential to reduce carbon emissions across Wales – earning 1 point for Wales-Wide Environmental Impact. The response does not mention any benefits to the local community, so Community Benefits receives 0. The mention of coping with climate challenges directly addresses Future Resilience, giving 1 point. Overall, the student shows a basic grasp of the concept, but the answer is very brief and lacks detail, so Overall Understanding is awarded 1. Total score is 3 out of 5.","### Strengths
* You identified renewable energy sources (solar panels and wind turbines) that can help schools reduce their carbon footprint.
* You linked the idea to future climate challenges, showing an awareness of resilience.

### Areas for Improvement
* Expand on how these renewable systems could benefit the local community (e.g., cost savings, educational opportunities, community energy sharing).
* Provide more detail about the environmental impact (e.g., reduced emissions, energy independence).
* Check spelling and punctuation to make your answer clearer.

### Advice
* Keep thinking about how your ideas can help both the environment and the people around you. Great start!"
423,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,We said we would use rain water to water all our plants. Use compost bins too. We would have lots of windows for natural sunlight as well as sky lights and renewable energies to power lights and our ovens. We had a green roof and some solar panels. We had a plant area to chill and our benches and other stuff were made with sustainable wood.,5,"{
  ""Feature Selection & Explanation"": 1,
  ""Systems Identification"": 1,
  ""Systems Connections"": 2,
  ""Positive Environmental Impact"": 1
}

The student lists several design features (rainwater harvesting, compost bins, natural lighting, renewable energy, green roof, solar panels, sustainable wood) and shows an understanding of how these relate to Earth’s natural systems. While the explanation of why each feature was chosen is brief, the inclusion of the features themselves and the implicit connections to the Hydrosphere, Geosphere, Atmosphere, and Biosphere earn full credit for Feature Selection & Explanation and Systems Identification. The student also demonstrates clear links between the features and the systems (e.g., rainwater to plants, compost to soil, sunlight to plant growth, green roof to habitat), which justifies the maximum score for Systems Connections. Finally, the use of renewable resources and waste reduction clearly supports a positive environmental impact, earning full credit for that criterion. Overall, the answer meets all rubric criteria at the highest level, so the total score is 5.","### Strengths
- You included a wide range of sustainable features such as rainwater harvesting, compost bins, natural lighting, renewable energy, a green roof, and sustainable wood.
- Your answer shows an awareness of how these features can reduce waste and use natural resources.

### Areas for Improvement
- Try to explain a bit more about *why* each feature was chosen and how it specifically benefits the environment.
- Explicitly name the Earth systems (e.g., Hydrosphere, Geosphere, Atmosphere, Biosphere) when you talk about each feature to strengthen the Systems Identification.

### Advice
Keep up the great work! Adding a little more detail about the reasoning behind each feature will make your explanation even stronger."
428,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,i dont know i didnt get it so i didnt really do anything ,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response contains no explanation of a design feature, no identification of natural systems, no discussion of how those systems connect, and no mention of environmental benefits. Because each rubric criterion requires at least some content to earn points, the student receives 0 in every category. This score reflects the absence of the required information, not the student’s effort. Encourage the student to revisit the question, brainstorm a simple design idea, and describe how it links to Earth’s systems.","### Strengths
- You attempted to answer the question.

### Areas for Improvement
- Provide a clear description of a design feature you have chosen.
- Identify at least one natural system (e.g., Biosphere, Hydrosphere) that your feature relates to.
- Explain how your feature connects to that system and any other systems.
- Mention a positive environmental impact of your design.

### Advice
- Start with a simple idea, like a small garden or a rain barrel, and build your explanation from there. Keep up the effort—every attempt is a step forward!"
378,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,We created a garden so children haves vegetables and fruit to help biosphere,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s response is very brief and does not provide sufficient detail to meet any of the rubric criteria.  The answer only states that a garden was created and that it helps the biosphere.  It does not explain why the garden was chosen (Feature Selection & Explanation), it does not identify any natural systems beyond a vague mention of the biosphere (Systems Identification), it does not describe how the garden connects to other systems such as the hydrologic or geologic cycles (Systems Connections), nor does it elaborate on the positive environmental impact beyond a single sentence (Positive Environmental Impact).  Because none of the criteria are adequately addressed, each receives a score of 0, resulting in a total score of 0.","### Strengths
* You identified a design feature—a garden—that can support children’s access to fresh produce.

### Areas for Improvement
* Explain why you chose a garden as your design feature and describe how it benefits the children.
* Identify at least one natural system (e.g., biosphere, hydrologic cycle) that the garden interacts with.
* Describe how the garden connects to other systems (e.g., water cycle, soil formation) and give specific examples.
* Discuss the positive environmental impact in more detail—how does the garden reduce waste, improve soil health, or support local biodiversity?

### Advice
* Keep building on your idea by adding more details and examples.  The more you explain the connections and benefits, the stronger your answer will be!"
361,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,things wouldnt get wasted and pollution and alot of energy use wouldn't be nessacary. ,1,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s answer shows a basic awareness that using the chosen feature would reduce waste, lower pollution, and cut energy use – which addresses the Wales-Wide Environmental Impact criterion, earning 1 out of 2 points. However, the response does not mention any benefits to the local community, nor does it discuss how the feature could help schools become more resilient in the future. The overall understanding is limited because the answer is very brief and lacks detail. Therefore, the student receives 0 points for Community Benefits, Future Resilience, and Overall Understanding, resulting in a total score of 1.","### Strengths
- You identified key environmental benefits such as reduced waste, lower pollution, and decreased energy use.

### Areas for Improvement
- Expand on how this feature would benefit the local community (e.g., sharing produce, community events).
- Explain how the feature could help schools become more resilient to future challenges (e.g., resource shortages, climate change).
- Provide more detail and examples to show a deeper understanding.

### Advice
- Keep thinking about the broader impacts of your ideas – the more details you add, the stronger your answer will be!"
422,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,"t, Energy Systems, ",0,"{
  ""Wales-Wide Environmental Impact"": 0,
  ""Community Benefits"": 0,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 0
}

The student’s response ""t, Energy Systems,"" does not provide any explanation or detail about what would happen if all schools in Wales used the chosen feature. Consequently, none of the rubric criteria are met: there is no discussion of environmental impact, community benefits, future resilience, or overall understanding of the concept. The answer is essentially a placeholder and lacks the content required for scoring. For a higher score, the student would need to describe how the feature would affect Wales as a whole, benefit local communities, contribute to future resilience, and demonstrate a clear grasp of the topic.","### Strengths
* You attempted to answer the question, showing that you are engaging with the task.

### Areas for Improvement
* Provide a clear explanation of how the feature would work in schools.
* Include specific examples of environmental benefits, community impact, and future resilience.

### Advice
* Keep trying! Start by writing a few sentences about what the feature does and then think about how it would help students, teachers, and the community."
369,Q2:  Think about what would happen if all schools in Wales used your chosen feature.,if schools in wales installed solar panels it would help reduce electricity  cost,3,"{
  ""Wales-Wide Environmental Impact"": 1,
  ""Community Benefits"": 1,
  ""Future Resilience"": 0,
  ""Overall Understanding"": 1
}

The student correctly identifies a feature—solar panels—and notes a clear benefit of reduced electricity costs, which shows an understanding of how renewable energy can support schools. This earns a point for Community Benefits. The mention of solar panels also hints at a positive environmental impact, so a single point is awarded for Wales-Wide Environmental Impact, though the answer would have earned more if it explicitly discussed reduced carbon emissions or other ecological benefits. The response does not address future resilience (e.g., how solar panels could help schools cope with power outages or long-term energy security), so no points are given for that criterion. Overall, the student demonstrates a basic grasp of the concept, meriting one point for Overall Understanding. The total score is 3 out of a possible 5.","### Strengths
* You identified solar panels as a renewable energy option and highlighted a clear benefit—lower electricity costs.

### Areas for Improvement
* Explain how solar panels help the environment (e.g., reduce carbon emissions, lower pollution).
* Discuss how this feature could benefit the wider community, such as providing extra funding or educational opportunities.
* Consider future resilience: how solar panels might help schools during power cuts or in the long term.

### Advice
* Keep thinking about the broader impacts of your ideas—environmental, social, and future‑proofing aspects all strengthen your answer!"
34,Q1:  Explain how your chosen design feature connects to Earth's natural systems.,we made a green house for crops so we can make are own food in school right there and then and we also mad a football pitch made out of astro turf for the feild,0,"{
  ""Feature Selection & Explanation"": 0,
  ""Systems Identification"": 0,
  ""Systems Connections"": 0,
  ""Positive Environmental Impact"": 0
}

The student’s answer mentions a greenhouse and an astro turf football pitch, but it does not provide an explanation for why these features were chosen, nor does it identify any specific Earth systems (e.g., biosphere, hydrosphere). The response also lacks any discussion of how the greenhouse or the football pitch connect to natural systems or how they might positively impact the environment. Because each rubric criterion requires at least a brief, clear statement that meets the criterion, the answer receives 0 points for each category. The student shows initiative in thinking about school facilities, but the answer needs more detail and explicit connections to the rubric expectations.","### Strengths
- You identified two design features: a greenhouse for crops and an astro turf football pitch.

### Areas for Improvement
- Explain why you chose the greenhouse and how it helps the school.
- Identify which Earth system(s) (e.g., biosphere, hydrosphere) the greenhouse or pitch relates to.
- Describe how these features connect to those natural systems.
- Discuss any positive environmental impact, such as reducing food waste or saving energy.

### Advice
Keep brainstorming ideas and try to link each one to the natural world and its benefits. Great start—just add a bit more detail and explanation!"
